#,ID,Title,Authors,Year,Source.title..Please..make.sure.to.enter.this.correctly..we.needed.to.check.if.it.belongs.to.predatory.journals.,Volume,Issue,Art_No,Page_start,Page_end,Page_count,Cited_by,DOI,Link,Exclusion_reason
538,632,Economic value of tropical forest to coffee production,"Ricketts T.H., Daily G.C., Ehrlich P.R., Michener C.D.",2004,Proceedings of the National Academy of Sciences of the United States of America,101,34,NA,12579,12582,NA,429,10.1073/pnas.0405147101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344667461&doi=10.1073%2fpnas.0405147101&partnerID=40&md5=f5679147116e68871ac0886c4057e23f,Irrelevant 
539,634,Do polycultures promote win-wins or trade-offs in agricultural ecosystem services? a meta-analysis,"Iverson A.L., MarÌn L.E., Ennis K.K., Gonthier D.J., Connor-Barrie B.T., Remfert J.L., Cardinale B.J., Perfecto I.",2014,Journal of Applied Ecology,51,6,NA,1593,1602,NA,60,10.1111/1365-2664.12334,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912075661&doi=10.1111%2f1365-2664.12334&partnerID=40&md5=0bfb462b7ef11c4e534d817f68b7a73e,It's a meta-analysis or review
540,636,Arthropod communities related to different mixtures of oil (glycine max l. merr.) and essential oil (artemisia annua l.) crops,"Lenardis A.E., Morvillo C.M., Gil A., de la Fuente E.B.",2011,Industrial Crops and Products,34,2,NA,1340,1347,NA,8,10.1016/j.indcrop.2010.12.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960362347&doi=10.1016%2fj.indcrop.2010.12.001&partnerID=40&md5=64f444acb5e7591cb1b44697f2d449d5,Missing data
541,637,Canola-wheat intercrops for improved agronomic performance and integrated pest management,"Hummel J.D., Dosdall L.M., Clayton G.W., Kelly Turkington T., Lupwayi N.Z., Neil Harker K., O'Donovan J.T.",2009,Agronomy Journal,101,5,NA,1190,1197,NA,15,10.2134/agronj2009.0032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349459687&doi=10.2134%2fagronj2009.0032&partnerID=40&md5=5bd7a1644ad5ad6eff8d4a33c20befc0,Not compare biodiversity
542,639,Impact of crop-crop diversity on pod-borer (helicoverpa armigera) of pigeonpea (cajanus cajan),"Srinivasa Rao M., Rama Rao C.A., Sree Vani G., Anjaiah E.",2007,Indian Journal of Agricultural Sciences,77,8,NA,495,501,NA,3,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548775086&partnerID=40&md5=b34d0e511625fd32908061084e5b971d,Unavailable study
543,641,Effects of canavalia ensiformis and mucuna pruriens intercrops on pratylenchus zeae damage and yield of maize in subsistence agriculture,"Arim O.J., Waceke J.W., Waudo S.W., Kimenju J.W.",2006,Plant and Soil,284,NA,NA,243,251,NA,25,10.1007/s11104-006-0053-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746397093&doi=10.1007%2fs11104-006-0053-9&partnerID=40&md5=bb4d2189dbe5b22aff32b918bbd0fc92,Missing data
544,642,"Relationships of intercropped maize, stem borer damage to maize yield and land-use efficiency in the humid forest of cameroon","Chabi-Olaye A., Nolte C., Schulthess F., Borgemeister C.",2005,Bulletin of Entomological Research,95,5,NA,417,427,NA,31,10.1079/BER2005373,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27344438780&doi=10.1079%2fBER2005373&partnerID=40&md5=029297ad0030a9e8de3cc11e442c3ac4,Missing data
545,647,Farmer-participatory evaluation of cowpea integrated pest management (ipm) technologies in eastern uganda,"Nabirye J., Nampala P., Ogenga-Latigo M.W., Kyamanywa S., Wilson H., Odeke V., Iceduna C., Adipala E.",2003,Crop Protection,22,1,NA,31,38,NA,11,10.1016/S0261-2194(02)00094-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037290708&doi=10.1016%2fS0261-2194%2802%2900094-7&partnerID=40&md5=021ad16a53455564cdc63704ceb8fc0d,Missing data
546,648,"Effects of maize-legume intercrops on termite damage to maize, activity of predatory ants and maize yields in uganda","Sekamatte B.M., Ogenga-Latigo M., Russell-Smith A.",2003,Crop Protection,22,1,NA,87,93,NA,45,10.1016/S0261-2194(02)00115-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037290681&doi=10.1016%2fS0261-2194%2802%2900115-1&partnerID=40&md5=112513fe20c0e48d3f891fe6af0d32aa,Different Output 
547,652,"The impact of weed diversity on insect population dynamics and crop yield in collards, brassica oleraceae (brassicaceae)","Schellhorn N.A., Sork V.L.",1997,Oecologia,111,2,NA,233,240,NA,62,10.1007/s004420050230,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030761522&doi=10.1007%2fs004420050230&partnerID=40&md5=b430b0555198b0e8697c559b0ff407a2,Missing data
548,653,Parasitism and disease incidence in the green cloverworm (lepidoptera: noctuidae) in strip-intercropped soybean agroecosystems,"Williams C.E., Pavuk D.M., Taylor D.H., Martin T.H.",1995,Environmental Entomology,24,2,NA,253,260,NA,7,10.1093/ee/24.2.253,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028993895&doi=10.1093%2fee%2f24.2.253&partnerID=40&md5=3d3793562477ca177463a5859b7d823d,Missing data
549,656,"Arthropod populations, yield and damage in monocultures and polycultures of corn, beans and tomatoes","Nordlund D.A., Chalfant R.B., Lewis W.J.",1984,"Agriculture, Ecosystems and Environment",11,4,NA,353,367,NA,28,10.1016/0167-8809(84)90007-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021541599&doi=10.1016%2f0167-8809%2884%2990007-0&partnerID=40&md5=1c9df97c5d088bfd704191b514491bfd,Missing data
550,658,A global quantitative synthesis of local and landscape effects on wild bee pollinators in agroecosystems,"Kennedy C.M., Lonsdorf E., Neel M.C., Williams N.M., Ricketts T.H., Winfree R., Bommarco R., Brittain C., Burley A.L., Cariveau D., Carvalheiro L.G., Chacoff N.P., Cunningham S.A., Danforth B.N., Dudenhˆffer J.-H., Elle E., Gaines H.R., Garibaldi L.A., Gratton C., Holzschuh A., Isaacs R., Javorek S.K., Jha S., Klein A.M., Krewenka K., Mandelik Y., Mayfield M.M., Morandin L., Neame L.A., Otieno M., Park M., Potts S.G., Rundlˆf M., Saez A., Steffan-Dewenter I., Taki H., Viana B.F., Westphal C., Wilson J.K., Greenleaf S.S., Kremen C.",2013,Ecology Letters,16,5,NA,584,599,NA,401,10.1111/ele.12082,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876702493&doi=10.1111%2fele.12082&partnerID=40&md5=1ae536bdb86f2e5ebdd62dc3f973551c,It's a meta-analysis or review
551,659,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry","Holzschuh A., Dudenhˆffer J.-H., Tscharntke T.",2012,Biological Conservation,153,NA,NA,101,107,NA,119,10.1016/j.biocon.2012.04.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862748217&doi=10.1016%2fj.biocon.2012.04.032&partnerID=40&md5=954c67056a88ded543279b729a002813,Not compare simplifiedd vs diversified
552,660,Wild pollination services to california almond rely on semi-natural habitat,"Klein A.-M., Brittain C., Hendrix S.D., Thorp R., Williams N., Kremen C.",2012,Journal of Applied Ecology,49,3,NA,723,732,NA,116,10.1111/j.1365-2664.2012.02144.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861685892&doi=10.1111%2fj.1365-2664.2012.02144.x&partnerID=40&md5=226c6050b459b10d7c2a1ef52aae8a4c,Not compare biodiversity
553,661,Interactive effects of large- and small-scale sources of feral honey-bees for sunflower in the argentine pampas,"S·ez A., Sabatino M., Aizen M.A.",2012,PLoS ONE,7,1,e30968,NA,NA,NA,11,10.1371/journal.pone.0030968,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856379045&doi=10.1371%2fjournal.pone.0030968&partnerID=40&md5=26205d307066e1c6ddd8f1f491312693,Not compare simplifiedd vs diversified
554,662,Drastic historic shifts in bumble-bee community composition in sweden,"Bommarco R., Lundin O., Smith H.G., Rundlˆf M.",2012,Proceedings of the Royal Society B: Biological Sciences,279,1727,NA,309,315,NA,116,10.1098/rspb.2011.0647,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053157699&doi=10.1098%2frspb.2011.0647&partnerID=40&md5=7a59ceafa7b8e02c014777c2b7114952,Secondary data
555,663,Effects of landscape metrics on apis and non-apis pollinators and seed set in common buckwheat,"Taki H., Okabe K., Yamaura Y., Matsuura T., Sueyoshi M., Makino S., Maeto K.",2010,Basic and Applied Ecology,11,7,NA,594,602,NA,32,10.1016/j.baae.2010.08.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649443067&doi=10.1016%2fj.baae.2010.08.004&partnerID=40&md5=ec963a6f731f1ec50b2b0b50a01c4530,Not compare simplifiedd vs diversified
556,664,"Contribution of small insects to pollination of common buckwheat, a distylous crop","Taki H., Okabe K., Makino S., Yamaura Y., Sueyoshi M.",2009,Annals of Applied Biology,155,1,NA,121,129,NA,16,10.1111/j.1744-7348.2009.00326.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67749110446&doi=10.1111%2fj.1744-7348.2009.00326.x&partnerID=40&md5=fab52c66ddb6f448308bc8ff500d9d39,Not compare simplifiedd vs diversified
557,665,Wild bees (hymenoptera: apoidea: anthophila) of the michigan highbush blueberry agroecosystem,"Tuell J.K., Ascher J.S., Isaacs R.",2009,Annals of the Entomological Society of America,102,2,NA,275,287,NA,59,10.1603/008.102.0209,https://www.scopus.com/inward/record.uri?eid=2-s2.0-63749098926&doi=10.1603%2f008.102.0209&partnerID=40&md5=a894532f5df081c2f9bd8f571d2800bb,Not compare simplifiedd vs diversified
558,666,Pollinators provide economic incentive to preserve natural land in agroecosystems,"Morandin L.A., Winston M.L.",2006,"Agriculture, Ecosystems and Environment",116,NA,NA,289,292,NA,127,10.1016/j.agee.2006.02.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745205344&doi=10.1016%2fj.agee.2006.02.012&partnerID=40&md5=24a7c73451115628efc4fd460c67b6d5,Not compare simplifiedd vs diversified
559,667,The relative importance of plant intraspecific diversity in structuring arthropod communities: a meta-analysis,"Koricheva J., Hayes D.",2018,Functional Ecology,32,7,NA,1704,1717,NA,13,10.1111/1365-2435.13062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043329152&doi=10.1111%2f1365-2435.13062&partnerID=40&md5=6a54e190b4220061afbe7cba269c7422,It's a meta-analysis or review
560,668,Genotypic diversity mitigates negative effects of density on plant performance: a field experiment and life cycle analysis of common evening primrose oenothera biennis,"Cook-Patton S.C., Hastings A.P., Agrawal A.A.",2017,Journal of Ecology,105,3,NA,726,735,NA,3,10.1111/1365-2745.12717,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010869408&doi=10.1111%2f1365-2745.12717&partnerID=40&md5=bf7ff55f623d90e7bde0a2f518baf8a3,Different Output 
561,669,Variety mixtures of wheat influence aphid populations and attract an aphid predator,"Grettenberger I.M., Tooker J.F.",2017,Arthropod-Plant Interactions,11,2,NA,133,146,NA,12,10.1007/s11829-016-9477-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997402793&doi=10.1007%2fs11829-016-9477-1&partnerID=40&md5=49061873dd798792d07a48f62a20204c,No conducted in the field
562,670,The effect of tree genetic diversity on insect herbivory varies with insect abundance,"Fernandez-Conradi P., Jactel H., Hampe A., Leiva M.J., Castagneyrol B.",2017,Ecosphere,8,1,1637,NA,NA,NA,12,10.1002/ecs2.1637,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009959489&doi=10.1002%2fecs2.1637&partnerID=40&md5=9467cb9ac9e8bc12a093512d465da7ff,Forest plantation or natural land
563,673,Influence of a native solanum tuberosum ssp. andigenum potato variety on management of the guatemalan potato moth in the venezuelan andes,"Moreno C.R., London M.S., Gliessman S.R.",2016,American Journal of Potato Research,93,3,NA,224,230,NA,2,10.1007/s12230-016-9498-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957572605&doi=10.1007%2fs12230-016-9498-4&partnerID=40&md5=c2df4cbe8b3715a1735344b75753cf57,Not compare biodiversity
564,674,The use of common bean (phaseolus vulgaris) traditional varieties and their mixtures with commercial varieties to manage bean fly (ophiomyia spp.) infestations in uganda,"Ssekandi W., Mulumba J.W., Colangelo P., Nankya R., Fadda C., Karungi J., Otim M., De Santis P., Jarvis D.I.",2016,Journal of Pest Science,89,1,NA,45,57,NA,9,10.1007/s10340-015-0678-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958598688&doi=10.1007%2fs10340-015-0678-7&partnerID=40&md5=f9d4cafa7c55594a43be231aa97db2f0,Different Output 
565,675,Effects of tree species diversity and genotypic diversity on leafminers and parasitoids in a tropical forest plantation,"Abdala-Roberts L., Gonz·lez-Moreno A., Mooney K.A., Moreira X., Gonz·lez-Hern·ndez A., Parra-Tabla V.",2016,Agricultural and Forest Entomology,18,1,NA,43,51,NA,5,10.1111/afe.12132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940764685&doi=10.1111%2fafe.12132&partnerID=40&md5=7264d85dc2cc1653827e7314bce36e82,Forest plantation or natural land
566,676,Comparison of tree genotypic diversity and species diversity effects on different guilds of insect herbivores,"Abdala-Roberts L., Mooney K.A., Quijano-Medina T., Campos-Navarrete M.J., Gonz·lez-Moreno A., Parra-Tabla V.",2015,Oikos,124,11,NA,1527,1535,NA,27,10.1111/oik.02033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945443967&doi=10.1111%2foik.02033&partnerID=40&md5=c14ce6908bfbf00fa656d9e7ba2262d9,Forest plantation or natural land
567,677,Effects of tree genotypic diversity and species diversity on the arthropod community associated with big-leaf mahogany,"Campos-Navarrete M.J., MunguÌa-Rosas M.A., Abdala-Roberts L., Quinto J., Parra-Tabla V.",2015,Biotropica,47,5,NA,579,587,NA,12,10.1111/btp.12250,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941214762&doi=10.1111%2fbtp.12250&partnerID=40&md5=9fe0bdc6d268352a0f4d08345a9f1bf7,Forest plantation or natural land
568,678,Are tree species diversity and genotypic diversity effects on insect herbivores mediated by ants?,"Campos-Navarrete M.J., Abdala-Roberts L., MunguÌa-Rosas M.A., Parra-Tabla V.",2015,PLoS ONE,10,8,e0132671,NA,NA,NA,6,10.1371/journal.pone.0132671,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941975760&doi=10.1371%2fjournal.pone.0132671&partnerID=40&md5=a21818fe40faf9c00eb4e2cf30f5ee49,Forest plantation or natural land
569,679,Effects of pepper (capsicum chinense) genotypic diversity on insect herbivores,"Abdala-Roberts L., Berny-Mier y Ter·n J.C., Moreira X., Dur·n-Y·Òez A., Tut-Pech F.",2015,Agricultural and Forest Entomology,17,4,NA,433,438,NA,4,10.1111/afe.12125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944281195&doi=10.1111%2fafe.12125&partnerID=40&md5=a35bfe0bc88f20ca91b69ae972d50525,Not compare biodiversity
570,680,Additive and non-additive effects of birch genotypic diversity on arthropod herbivory in a long-term field experiment,"Barton K.E., Valkama E., Vehvil‰inen H., Ruohom‰ki K., Knight T.M., Koricheva J.",2015,Oikos,124,6,NA,697,706,NA,19,10.1111/oik.01663,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930398930&doi=10.1111%2foik.01663&partnerID=40&md5=f35bc7c4703fac47b0645949d5cfb400,Forest plantation or natural land
571,682,Ecological and evolutionary consequences of plant genotype diversity in a tri-trophic system,"Abdala-Roberts L., Mooney K.A.",2014,Ecology,95,10,NA,2894,2903,NA,25,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908292855&partnerID=40&md5=2c8c8a79d446a7336fce9dc029e4e93e,Not compare biodiversity
572,683,Positive effects of plant genotypic and species diversity on anti-herbivore defenses in a tropical tree species,"Moreira X., Abdala-Roberts L., Parra-Tabla V., Mooney K.A.",2014,PLoS ONE,9,8,e105438,NA,NA,NA,36,10.1371/journal.pone.0105438,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940237612&doi=10.1371%2fjournal.pone.0105438&partnerID=40&md5=429afe139c1d30bcbe3db0270928388d,Forest plantation or natural land
573,687,Genetic diversity within a dominant plant outweighs plant species diversity in structuring an arthropod community,"Crawford K.M., Rudgers J.A.",2013,Ecology,94,5,NA,1025,1035,NA,46,10.1890/12-1468.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878045282&doi=10.1890%2f12-1468.1&partnerID=40&md5=3a418a245ca9e94ca63343c66877d28e,Forest plantation or natural land
574,688,Genetic diversity increases insect herbivory on oak saplings,"Castagneyrol B., Lagache L., Giffard B., Kremer A., Jactel H.",2012,PLoS ONE,7,8,e44247,NA,NA,NA,40,10.1371/journal.pone.0044247,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865467441&doi=10.1371%2fjournal.pone.0044247&partnerID=40&md5=e5f98132aa7d13fd6a78cbed16a17b48,Forest plantation or natural land
575,689,Unique arthropod communities on different host-plant genotypes results in greater arthropod diversity,"Ferrier S.M., Bangert R.K., Hersch-Green E.I., Bailey J.K., Allan G.J., Whitham T.G.",2012,Arthropod-Plant Interactions,6,2,NA,187,195,NA,17,10.1007/s11829-011-9177-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861458300&doi=10.1007%2fs11829-011-9177-9&partnerID=40&md5=a21285921141c89a8fa888f723762249,Forest plantation or natural land
576,690,"Relationships between arthropod richness, evenness, and diversity are altered by complementarity among plant genotypes","McArt S.H., Cook-Patton S.C., Thaler J.S.",2012,Oecologia,168,4,NA,1013,1021,NA,22,10.1007/s00442-011-2150-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858007819&doi=10.1007%2fs00442-011-2150-6&partnerID=40&md5=c84c0cc7fc6c45aca96896548a403270,Not abundance or richness
577,691,Effects of genetic diversity of grass on insect species diversity at higher trophic levels are not due to cascading diversity effects,"Jones T.S., Allan E., H‰rri S.A., Krauss J., M¸ller C.B., Van Veen F.J.F.",2011,Oikos,120,7,NA,1031,1036,NA,11,10.1111/j.1600-0706.2010.18957.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959377079&doi=10.1111%2fj.1600-0706.2010.18957.x&partnerID=40&md5=5afd56d982801c1cd0533e4afcbe3954,No conducted in the field
578,692,Effect of within-species plant genotype mixing on habitat preference of a polyphagous insect predator,"Ninkovic V., Abassi S.A., Ahmed E., Glinwood R., Pettersson J.",2011,Oecologia,166,2,NA,391,400,NA,27,10.1007/s00442-010-1839-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956057755&doi=10.1007%2fs00442-010-1839-2&partnerID=40&md5=f782f870dc4a240bbc2103109459cdbd,Missing data
579,693,A direct comparison of the consequences of plant genotypic and species diversity on communities and ecosystem function,"Cook-Patton S.C., Mcart S.H., Parachnowitsch A.L., Thaler J.S., Agrawal A.A.",2011,Ecology,92,4,NA,915,923,NA,117,10.1890/10-0999.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955654237&doi=10.1890%2f10-0999.1&partnerID=40&md5=a5f9e577b0b2ebb03918caeb19217871,Not functional group
580,694,Plant genotypic diversity increases population size of a herbivorous insect,"Utsumi S., Ando Y., Craig T.P., Ohgushi T.",2011,Proceedings of the Royal Society B: Biological Sciences,278,1721,NA,3108,3115,NA,42,10.1098/rspb.2011.0239,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052778846&doi=10.1098%2frspb.2011.0239&partnerID=40&md5=4da32086e052445d5e89883e905fe7ce,Not compare simplifiedd vs diversified
581,696,Genotypic diversity and grazer identity interactively influence seagrass and grazer biomass,"Hughes A.R., Best R.J., Stachowicz J.J.",2010,Marine Ecology Progress Series,403,NA,NA,43,51,NA,38,10.3354/meps08506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954140721&doi=10.3354%2fmeps08506&partnerID=40&md5=5a9e514911c7f5a61ae7cfbce95aa078,Forest plantation or natural land
582,697,Non-additive effects of genotypic diversity increase floral abundance and abundance of floral visitors,"Genung M.A., Lessard J.-P., Brown C.B., Bunn W.A., Cregger M.A., Reynolds Wm.N., Felker-Quinn E., Stevenson M.L., Hartley A.S., Crutsinger G.M., Schweitzer J.A., Bailey J.K.",2010,PLoS ONE,5,1,e8711,NA,NA,NA,43,10.1371/journal.pone.0008711,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649261235&doi=10.1371%2fjournal.pone.0008711&partnerID=40&md5=e60516d7b2695b528b55c55172948ff6,Not compare simplifiedd vs diversified
583,698,Herbivory enhances positive effects of plant genotypic diversity,"Parker J.D., Salminen J.P., Agrawal A.A.",2010,Ecology Letters,13,5,NA,553,563,NA,40,10.1111/j.1461-0248.2010.01452.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954293830&doi=10.1111%2fj.1461-0248.2010.01452.x&partnerID=40&md5=da057a44803d68409c73ab561c446da2,Not compare biodiversity
584,699,Plant genetic diversity yields increased plant productivity and herbivore performance,"Kotowska A.M., Cahill Jr. J.F., Keddie B.A.",2010,Journal of Ecology,98,1,NA,237,245,NA,72,10.1111/j.1365-2745.2009.01606.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249083986&doi=10.1111%2fj.1365-2745.2009.01606.x&partnerID=40&md5=e8a5ab7e14e46b6281ad5503a6ad5733,Not compare biodiversity
585,700,Synergistic effects of repellents and attractants in potato tuber moth control,"GÛmez JimÈnez M.I., Poveda K.",2009,Basic and Applied Ecology,10,8,NA,763,769,NA,7,10.1016/j.baae.2009.06.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-71649114122&doi=10.1016%2fj.baae.2009.06.009&partnerID=40&md5=27dc2bb3b7526beb51f08043a675afe1,Irrelevant 
586,701,Plant genotypic diversity and environmental stress interact to negatively affect arthropod community diversity,"Kanaga M.K., Latta L.C., Mock K.E., Ryel R.J., Lindroth R.L., Pfrender M.E.",2009,Arthropod-Plant Interactions,3,4,NA,249,258,NA,17,10.1007/s11829-009-9073-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350721666&doi=10.1007%2fs11829-009-9073-8&partnerID=40&md5=e49078b853335725fe5cad3b937f262c,Forest plantation or natural land
587,702,Effect of genetic variance in plant quality on the population dynamics of a herbivorous insect,Underwood N.,2009,Journal of Animal Ecology,78,4,NA,839,847,NA,29,10.1111/j.1365-2656.2009.01540.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-66749127323&doi=10.1111%2fj.1365-2656.2009.01540.x&partnerID=40&md5=f43d366fc51bb4f494b3b0e8cae20599,Not compare biodiversity
588,703,Temporal dynamics in non-additive responses of arthropods to host-plant genotypic diversity,"Crutsinger G.M., Collins M.D., Fordyce J.A., Sanders N.J.",2008,Oikos,117,2,NA,255,264,NA,33,10.1111/j.2007.0030-1299.16276.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38649121442&doi=10.1111%2fj.2007.0030-1299.16276.x&partnerID=40&md5=448527b4fcb34c3e2dd0b38c19f0a902,Not functional group
589,704,Host-plant genotypic diversity mediates the distribution of an ecosystem engineer,"Crawford K.M., Crutsinger G.M., Sanders N.J.",2007,Ecology,88,8,NA,2114,2120,NA,65,10.1890/06-1441.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35148827499&doi=10.1890%2f06-1441.1&partnerID=40&md5=bc7c9e4f7d9d143300fe688ef32f06cc,Not compare biodiversity
590,705,Additive and interactive effects of plant genotypic diversity on arthropod communities and plant fitness,"Johnson M.T.J., Lajeunesse M.J., Agrawal A.A.",2006,Ecology Letters,9,1,NA,24,34,NA,242,10.1111/j.1461-0248.2005.00833.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644945885&doi=10.1111%2fj.1461-0248.2005.00833.x&partnerID=40&md5=6d33e42580297d80b1bbd102787ff8e9,Not functional group
591,706,Progress of cassava mosaic virus disease and whitefly vector populations in single and mixed stands of four cassava varieties grown under epidemic conditions in uganda,"Sserubombwe W.S., Thresh J.M., Otim-Nape G.W., Osiru D.O.S.",2001,Annals of Applied Biology,138,2,NA,161,170,NA,21,10.1111/j.1744-7348.2001.tb00098.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034938596&doi=10.1111%2fj.1744-7348.2001.tb00098.x&partnerID=40&md5=4c13975e56e3e6b98756f2d122296d5c,Missing data
592,707,Responses of the willow beetle phratora vulgatissima to genetically and spatially diverse salix spp. plantations,"Peacock L., Herrick S.",2000,Journal of Applied Ecology,37,5,NA,821,831,NA,36,10.1046/j.1365-2664.2000.00528.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033666051&doi=10.1046%2fj.1365-2664.2000.00528.x&partnerID=40&md5=5446ddaad55c9c68ef94fee29a93b35c,Forest plantation or natural land
593,708,Management of diamondback moth i (lepidoptera: plutellidae) in cabbage using collard as a trap crop,"Mitchell E.R., Hu G., Johanowicz D.",2000,HortScience,35,5,NA,875,879,NA,38,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033823942&partnerID=40&md5=9a2715fe816c6fbe735da0c2aa2f8722,Missing data
594,709,Associational susceptibility: effects of cropping pattern and fertilizer on malawian bean fly levels,Letourneau D.K.,1995,Ecological Applications,5,3,NA,823,829,NA,31,10.2307/1941990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028984308&doi=10.2307%2f1941990&partnerID=40&md5=d54a585c0b56520763ad59fa259a8b42,Missing data
595,710,"Mixed planting of potato cultivars: growth, yield and leafminer damage in the cool tropics","Midmore D.J., Alcazar J.",1991,Experimental Agriculture,27,3,NA,305,318,NA,5,10.1017/S0014479700019025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026330218&doi=10.1017%2fS0014479700019025&partnerID=40&md5=a408fd8cf3d53775f67c0d40cb90e4e6,Missing data
596,711,Virus spread and vector dynamics in genetically diverse plant populations,Power A.G.,1991,Ecology,72,1,NA,232,241,NA,73,10.2307/1938917,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026010719&doi=10.2307%2f1938917&partnerID=40&md5=84ea93f74a647cdb613814f8a5122238,Missing data
597,712,"Effects of intercropping and varietal mixtures on the cassava hornworm, erinnyis ello l. (lepidoptera: sphingidae), and the stemborer, chilomima clarkei (amsel) (lepidoptera: pyralidae), in colombia","Gold C.S., Altleri M.A., Bellotti A.C.",1990,Tropical Pest Management,36,4,NA,362,367,NA,12,10.1080/09670879009371512,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025591496&doi=10.1080%2f09670879009371512&partnerID=40&md5=46fc2b1da65c6c7faf0783bb4296e377,Missing data
598,713,Effects of cassava varietal mixtures on the whiteflies aleurotrachelus socialis and triateurodes variabilis in colombia,"Gold C.S., Altieri M.A., Bellotti A.C.",1989,Entomologia Experimentalis et Applicata,53,3,NA,195,202,NA,8,10.1111/j.1570-7458.1989.tb03566.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-14644405858&doi=10.1111%2fj.1570-7458.1989.tb03566.x&partnerID=40&md5=53d38694e81ffaa48d694c33c86b48d1,Missing data
599,714,The effects of intercropping and mixed varieties of predators and parasitoids of cassava whiteflies (hemiptera: aleyrodidae) in colombia,"Gold C.S., Altieri M.A., Bellotti A.C.",1989,Bulletin of Entomological Research,79,1,NA,115,121,NA,18,10.1017/S0007485300018629,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024904336&doi=10.1017%2fS0007485300018629&partnerID=40&md5=28f81c3e34efc0e5b95b7464fb591147,Missing data
600,716,Impact of insecticides on the structure and productivity of insect pest and natural enemy communities associated with intercropping in cotton agroecosystems,"Gao F., Ge F., Liu X., Song Y.",2008,International Journal of Pest Management,54,2,NA,103,114,NA,4,10.1080/09670870701621290,https://www.scopus.com/inward/record.uri?eid=2-s2.0-41549144395&doi=10.1080%2f09670870701621290&partnerID=40&md5=04b8feb591365c8de28697c6a3179a11,Different Output 
